ds,DHI,dni,y,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
01-01-98 0:00,0,0,0,0,0,0,1,-16,160.47,0,0.866,0.7,0.219,294,82.33,-13,1000
01-01-98 0:30,0,0,0,0,0,0,1,-16,160.1,0,0.866,0.6,0.22,294,82.35,-13,1000
01-01-98 1:00,0,0,0,0,0,0,1,-17,157.9,0,0.866,0.6,0.221,286.9,83.03,-14,1000
01-01-98 1:30,0,0,0,0,0,0,1,-17,154.35,0,0.866,0.5,0.225,286.9,83.06,-14,1000
01-01-98 2:00,0,0,0,0,0,0,1,-18,149.93,0,0.866,0.5,0.23,279.7,81.74,-15,1000
01-01-98 2:30,0,0,0,0,0,0,7,-18,145,0,0.866,0.5,0.237,279.7,88.87,-15,1000
01-01-98 3:00,0,0,0,0,0,0,8,-19,139.77,0,0.866,0.5,0.245,274,88,-16,1000
01-01-98 3:30,0,0,0,0,0,0,7,-19,134.35,0,0.866,0.5,0.26,274,88,-16,1000
01-01-98 4:00,0,0,0,0,0,0,7,-19,128.85,0,0.866,0.6,0.275,270.2,86.05,-16,1000
01-01-98 4:30,0,0,0,0,0,0,8,-19,123.32,0,0.866,0.6,0.296,270.2,86.06,-16,1000
01-01-98 5:00,0,0,0,0,0,0,1,-20,117.81,0,0.866,0.6,0.318,264.8,84.04,-16,1000
01-01-98 5:30,0,0,0,0,0,0,0,-20,112.34,0,0.866,0.6,0.339,264.8,84.04,-16,1000
01-01-98 6:00,0,0,0,0,0,0,7,-20,106.97,0,0.866,0.6,0.362,252.5,81.34,-17,1000
01-01-98 6:30,0,0,0,0,0,0,7,-20,101.71,0,0.866,0.6,0.383,252.5,81.35,-16,1000
01-01-98 7:00,0,0,0,0,0,0,7,-20,96.62,0,0.866,0.6,0.405,233.8,82.23,-16,1000
01-01-98 7:30,0,0,0,0,0,0,7,-20,91.72,0,0.866,0.6,0.428,233.8,75.58,-15,1000
01-01-98 8:00,16,0,16,21,266,35,7,-19,87.06,4,0.866,0.6,0.451,208,82.87,-15,1000
01-01-98 8:30,44,22,47,41,488,103,7,-19,82.69,0,0.866,0.6,0.48,208,70.15,-13,1000
01-01-98 9:00,56,619,177,56,619,177,0,-14,78.68,0,0.866,0.7,0.51,191.7,86.51,-11,1000
01-01-98 9:30,67,702,248,67,702,248,1,-14,75.07,0,0.866,0.7,0.544,191.7,73.64,-10,1000
01-01-98 10:00,77,750,310,77,750,310,1,-12,71.94,0,0.866,0.8,0.579,182.8,85.16,-9,1000
01-01-98 10:30,148,101,183,83,787,361,8,-12,69.35,0,0.866,0.9,0.626,182.8,78.66,-8,1000
01-01-98 11:00,158,57,181,98,775,397,7,-10,67.37,0,0.866,1,0.674,191.5,89.64,-7,1000
01-01-98 11:30,141,3,143,102,788,422,7,-10,66.06,0,0.866,1,0.73,191.5,82.88,-6,1000
01-01-98 12:00,112,0,112,119,742,427,8,-9,65.46,0,0.866,1.1,0.786,196.4,89.39,-6,1000
01-01-98 12:30,160,25,171,118,740,425,8,-9,65.59,0,0.866,1.1,0.798,196.4,82.7,-6,1000
01-01-98 13:00,128,0,128,113,738,408,7,-8,66.44,0,0.866,1.2,0.811,193.6,88.09,-6,1000
01-01-98 13:30,118,0,118,108,715,376,7,-8,67.99,4,0.866,1.2,0.834,193.6,88.03,-5,1000
01-01-98 14:00,64,0,64,97,695,333,8,-7,70.19,0,0.866,1.4,0.858,194.7,93.29,-5,1000
01-01-98 14:30,115,50,130,88,644,277,7,-7,72.98,0,0.866,1.4,0.894,194.7,86.36,-5,1000
01-01-98 15:00,55,0,55,75,579,212,6,-7,76.29,0,0.866,1.4,0.931,198.5,90.19,-5,1000
01-01-98 15:30,37,0,37,59,476,142,6,-7,80.05,4,0.866,1.4,0.929,198.5,90.16,-4,1000
01-01-98 16:00,18,0,18,38,328,72,7,-6,84.2,4,0.866,1.5,0.927,202.2,93.24,-4,1000
01-01-98 16:30,3,0,3,13,91,15,7,-6,88.67,4,0.866,1.5,0.938,202.2,86.39,-4,1000
01-01-98 17:00,0,0,0,0,0,0,4,-6,93.42,0,0.866,1.5,0.95,206.6,89.82,-4,1000
01-01-98 17:30,0,0,0,0,0,0,7,-6,98.39,0,0.866,1.5,0.956,206.6,89.8,-3,1000
01-01-98 18:00,0,0,0,0,0,0,7,-5,103.55,0,0.866,1.6,0.963,209.8,93.57,-3,1000
01-01-98 18:30,0,0,0,0,0,0,7,-5,108.85,0,0.866,1.6,0.958,209.8,86.77,-3,990
01-01-98 19:00,0,0,0,0,0,0,7,-5,114.26,0,0.866,1.6,0.954,211.6,90.62,-3,990
01-01-98 19:30,0,0,0,0,0,0,7,-5,119.74,0,0.866,1.5,0.949,211.6,90.61,-2,990
01-01-98 20:00,0,0,0,0,0,0,7,-4,125.27,0,0.866,1.5,0.944,214.6,94.2,-2,990
01-01-98 20:30,0,0,0,0,0,0,4,-4,130.79,0,0.866,1.5,0.937,214.6,94.19,-2,990
01-01-98 21:00,0,0,0,0,0,0,7,-4,136.26,0,0.866,1.5,0.931,218.7,95.11,-2,990
01-01-98 21:30,0,0,0,0,0,0,7,-4,141.62,0,0.866,1.4,0.934,218.7,95.1,-2,990
01-01-98 22:00,0,0,0,0,0,0,7,-4,146.76,0,0.866,1.4,0.938,224.8,95.81,-2,990
01-01-98 22:30,0,0,0,0,0,0,7,-4,151.53,0,0.866,1.2,0.95,224.8,88.92,-2,990
01-01-98 23:00,0,0,0,0,0,0,1,-4,155.67,0,0.866,1.2,0.962,229.2,91.13,-2,990
01-01-98 23:30,0,0,0,0,0,0,7,-4,158.79,0,0.866,1.1,0.969,229.2,91.14,-1,990
02-01-98 0:00,0,0,0,0,0,0,1,-3,160.37,0,0.866,1.1,0.977,234.5,93.85,-1,990
02-01-98 0:30,0,0,0,0,0,0,7,-3,160.03,0,0.866,1.1,0.978,234.5,93.87,-1,990
02-01-98 1:00,0,0,0,0,0,0,7,-3,157.87,0,0.866,1.1,0.979,237.8,95.97,-1,990
02-01-98 1:30,0,0,0,0,0,0,7,-3,154.34,0,0.866,1,0.975,237.8,95.98,-1,990
02-01-98 2:00,0,0,0,0,0,0,4,-3,149.95,0,0.866,1,0.972,241.9,97.93,-1,1000
02-01-98 2:30,0,0,0,0,0,0,4,-3,145.03,0,0.866,1,0.972,241.9,90.95,-1,1000
02-01-98 3:00,0,0,0,0,0,0,4,-2,139.79,0,0.866,1,0.972,249.4,94.1,-1,1000
02-01-98 3:30,0,0,0,0,0,0,4,-2,134.39,0,0.866,1,0.974,249.4,94.11,0,1000
02-01-98 4:00,0,0,0,0,0,0,7,-2,128.89,0,0.866,1,0.976,253,98.46,0,1000
02-01-98 4:30,0,0,0,0,0,0,7,-2,123.36,0,0.866,0.9,0.984,253,91.5,0,1000
02-01-98 5:00,0,0,0,0,0,0,7,-1,117.84,0,0.866,0.9,0.992,254.3,95.61,0,1000
02-01-98 5:30,0,0,0,0,0,0,7,-1,112.37,0,0.866,0.9,1,254.3,95.63,0,1000
02-01-98 6:00,0,0,0,0,0,0,4,-1,107,0,0.866,0.9,1.01,257.6,99.3,0,1000
02-01-98 6:30,0,0,0,0,0,0,4,-1,101.74,0,0.866,0.9,1.012,257.6,92.35,0,1000
02-01-98 7:00,0,0,0,0,0,0,4,0,96.64,0,0.866,0.9,1.014,259.9,96.03,0,1000
02-01-98 7:30,0,0,0,0,0,0,4,0,91.73,0,0.866,0.8,1.008,259.9,96.07,0,1000
02-01-98 8:00,22,194,32,22,194,32,0,0,87.06,0,0.866,0.8,1.004,254.9,100,1,1000
02-01-98 8:30,45,405,97,45,405,97,4,0,82.69,4,0.866,0.7,1.002,254.9,100,1,1000
02-01-98 9:00,54,0,54,62,543,169,4,0,78.66,0,0.866,0.7,1,240.7,100,1,1000
02-01-98 9:30,66,0,66,75,632,239,4,0,75.04,0,0.866,0.7,0.998,240.7,100,1,1000
02-01-98 10:00,91,0,91,88,682,300,4,0,71.9,0,0.866,0.8,0.997,230.2,100,1,1000
02-01-98 10:30,131,15,137,96,724,352,4,0,69.3,0,0.866,0.8,1,230.2,100,1,1000
02-01-98 11:00,134,2,135,105,740,390,4,0,67.31,0,0.866,0.8,1.004,225.3,100,1,1000
02-01-98 11:30,176,137,232,109,757,417,7,0,65.99,0,0.866,0.7,1.008,225.3,100,1,1000
02-01-98 12:00,97,656,370,112,758,428,7,0,65.37,0,0.866,0.7,1.01,221,100,2,1000
02-01-98 12:30,112,757,426,112,757,426,1,0,65.49,0,0.866,0.7,1.016,221,100,2,1000
02-01-98 13:00,118,720,407,118,720,407,0,0,66.34,0,0.866,0.8,1.022,218.8,100,2,1000
02-01-98 13:30,113,697,376,113,697,376,0,0,67.88,0,0.866,0.7,1.055,218.8,100,2,1000
02-01-98 14:00,108,651,331,108,651,331,0,0,70.07,0,0.866,0.7,1.089,224.9,100,2,1000
02-01-98 14:30,98,600,275,98,600,275,0,0,72.85,0,0.866,0.7,1.148,224.9,100,2,1000
