ds,y
01-01-17 0:00,0
01-01-17 0:30,0
01-01-17 1:00,0
01-01-17 1:30,0
01-01-17 2:00,0
01-01-17 2:30,0
01-01-17 3:00,0
01-01-17 3:30,0
01-01-17 4:00,0
01-01-17 4:30,0
01-01-17 5:00,0
01-01-17 5:30,0
01-01-17 6:00,0
01-01-17 6:30,0
01-01-17 7:00,0
01-01-17 7:30,0
01-01-17 8:00,33
01-01-17 8:30,100
01-01-17 9:00,175
01-01-17 9:30,246
01-01-17 10:00,312
01-01-17 10:30,366
01-01-17 11:00,407
01-01-17 11:30,434
01-01-17 12:00,448
01-01-17 12:30,445
01-01-17 13:00,429
01-01-17 13:30,398
01-01-17 14:00,353
01-01-17 14:30,296
01-01-17 15:00,229
01-01-17 15:30,155
01-01-17 16:00,81
01-01-17 16:30,17
01-01-17 17:00,0
01-01-17 17:30,0
01-01-17 18:00,0
01-01-17 18:30,0
01-01-17 19:00,0
01-01-17 19:30,0
01-01-17 20:00,0
01-01-17 20:30,0
01-01-17 21:00,0
01-01-17 21:30,0
01-01-17 22:00,0
01-01-17 22:30,0
01-01-17 23:00,0
01-01-17 23:30,0
01-02-17 0:00,0
01-02-17 0:30,0
01-02-17 1:00,0
01-02-17 1:30,0
01-02-17 2:00,0
01-02-17 2:30,0
01-02-17 3:00,0
01-02-17 3:30,0
01-02-17 4:00,0
01-02-17 4:30,0
01-02-17 5:00,0
01-02-17 5:30,0
01-02-17 6:00,0
01-02-17 6:30,0
01-02-17 7:00,0
01-02-17 7:30,0
01-02-17 8:00,12
01-02-17 8:30,37
01-02-17 9:00,63
01-02-17 9:30,90
01-02-17 10:00,112
01-02-17 10:30,132
01-02-17 11:00,199
01-02-17 11:30,162
01-02-17 12:00,202
01-02-17 12:30,93
01-02-17 13:00,49
01-02-17 13:30,26
01-02-17 14:00,23
01-02-17 14:30,19
01-02-17 15:00,14
01-02-17 15:30,9
01-02-17 16:00,5
01-02-17 16:30,1
01-02-17 17:00,0
01-02-17 17:30,0
01-02-17 18:00,0
01-02-17 18:30,0
01-02-17 19:00,0
01-02-17 19:30,0
01-02-17 20:00,0
01-02-17 20:30,0
01-02-17 21:00,0
01-02-17 21:30,0
01-02-17 22:00,0
01-02-17 22:30,0
01-02-17 23:00,0
01-02-17 23:30,0
01-03-17 0:00,0
01-03-17 0:30,0
01-03-17 1:00,0
01-03-17 1:30,0
01-03-17 2:00,0
01-03-17 2:30,0
01-03-17 3:00,0
01-03-17 3:30,0
01-03-17 4:00,0
01-03-17 4:30,0
01-03-17 5:00,0
01-03-17 5:30,0
01-03-17 6:00,0
01-03-17 6:30,0
01-03-17 7:00,0
01-03-17 7:30,0
01-03-17 8:00,6
01-03-17 8:30,21
01-03-17 9:00,37
01-03-17 9:30,52
01-03-17 10:00,66
01-03-17 10:30,77
01-03-17 11:00,128
01-03-17 11:30,112
01-03-17 12:00,116
01-03-17 12:30,136
01-03-17 13:00,126
01-03-17 13:30,83
01-03-17 14:00,74
01-03-17 14:30,62
01-03-17 15:00,48
