Year,Month,Day,Hour,Minute,ds,DHI,DNI,y,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2017,1,1,0,0,01-01-17 0:00,0,0,0,0,0,0,4,0,160.43,0,0.866,1.1,1.073,233.1,100,2,990
2017,1,1,0,30,01-01-17 0:30,0,0,0,0,0,0,4,0,160.07,0,0.866,1,0.964,233.1,100,2,990
2017,1,1,1,0,01-01-17 1:00,0,0,0,0,0,0,4,0,157.88,0,0.866,1,0.855,252.3,100,2,990
2017,1,1,1,30,01-01-17 1:30,0,0,0,0,0,0,4,0,154.34,0,0.866,1,0.76,252.3,100,1,990
2017,1,1,2,0,01-01-17 2:00,0,0,0,0,0,0,4,0,149.93,0,0.866,1.1,0.666,271.6,99.05,1,990
2017,1,1,2,30,01-01-17 2:30,0,0,0,0,0,0,4,0,145,0,0.866,1.1,0.605,271.6,99.13,0,990
2017,1,1,3,0,01-01-17 3:00,0,0,0,0,0,0,4,-1,139.77,0,0.866,1.2,0.544,280.6,87.92,0,990
2017,1,1,3,30,01-01-17 3:30,0,0,0,0,0,0,4,-1,134.36,0,0.866,1.2,0.522,280.6,87.99,0,990
2017,1,1,4,0,01-01-17 4:00,0,0,0,0,0,0,4,-3,128.86,0,0.866,1.2,0.5,281.7,83.01,0,990
2017,1,1,4,30,01-01-17 4:30,0,0,0,0,0,0,4,-3,123.33,0,0.866,1,0.507,281.7,83.06,0,990
2017,1,1,5,0,01-01-17 5:00,0,0,0,0,0,0,4,-4,117.81,0,0.866,0.9,0.515,279.2,82.08,-1,990
2017,1,1,5,30,01-01-17 5:30,0,0,0,0,0,0,4,-4,112.35,0,0.866,0.8,0.535,279.2,82.13,-1,990
2017,1,1,6,0,01-01-17 6:00,0,0,0,0,0,0,1,-5,106.97,0,0.866,0.7,0.555,276.8,83.92,-2,990
2017,1,1,6,30,01-01-17 6:30,0,0,0,0,0,0,1,-5,101.71,0,0.866,0.6,0.569,276.8,83.96,-2,990
2017,1,1,7,0,01-01-17 7:00,0,0,0,0,0,0,4,-5,96.62,0,0.866,0.6,0.583,272.8,88.74,-2,990
2017,1,1,7,30,01-01-17 7:30,0,0,0,0,0,0,1,-5,91.72,0,0.866,0.6,0.584,272.8,82.41,-1,1000
2017,1,1,8,0,01-01-17 8:00,33,0,33,23,191,33,4,-5,87.05,4,0.866,0.6,0.585,265.2,85.41,-1,1000
2017,1,1,8,30,01-01-17 8:30,48,409,100,48,409,100,1,-5,82.69,0,0.866,0.6,0.576,265.2,79.36,0,1000
2017,1,1,9,0,01-01-17 9:00,63,568,175,63,568,175,1,-4,78.67,0,0.866,0.7,0.567,265.9,79.17,0,1000
2017,1,1,9,30,01-01-17 9:30,76,658,246,76,658,246,1,-4,75.05,0,0.866,0.7,0.556,265.9,73.66,0,1000
2017,1,1,10,0,01-01-17 10:00,79,752,312,79,752,312,1,-4,71.92,0,0.866,0.8,0.545,280,74.04,1,1000
2017,1,1,10,30,01-01-17 10:30,86,793,366,86,793,366,1,-4,69.32,0,0.866,0.8,0.532,280,74.04,1,1000
2017,1,1,11,0,01-01-17 11:00,88,830,407,88,830,407,1,-4,67.34,0,0.866,0.8,0.519,286.4,72.89,2,1000
2017,1,1,11,30,01-01-17 11:30,90,846,434,90,846,434,1,-4,66.03,0,0.866,0.7,0.512,286.4,72.89,2,1000
2017,1,1,12,0,01-01-17 12:00,88,866,448,88,866,448,1,-4,65.42,0,0.866,0.7,0.506,284.6,68.33,2,1000
2017,1,1,12,30,01-01-17 12:30,87,865,445,87,865,445,1,-4,65.55,0,0.866,0.6,0.506,284.6,68.34,2,1000
2017,1,1,13,0,01-01-17 13:00,81,869,429,81,869,429,1,-4,66.4,0,0.866,0.6,0.507,280.5,69.02,3,1000
2017,1,1,13,30,01-01-17 13:30,78,851,398,78,851,398,1,-4,67.95,0,0.866,0.5,0.511,280.5,69.04,3,1000
2017,1,1,14,0,01-01-17 14:00,72,826,353,72,826,353,0,-3,70.15,0,0.866,0.5,0.516,275.3,70.71,3,1000
2017,1,1,14,30,01-01-17 14:30,66,783,296,66,783,296,0,-3,72.93,0,0.866,0.4,0.519,275.3,76.04,2,1000
2017,1,1,15,0,01-01-17 15:00,57,722,229,57,722,229,0,-2,76.24,0,0.866,0.3,0.522,251.6,83.69,2,1000
2017,1,1,15,30,01-01-17 15:30,46,628,155,46,628,155,1,-2,80,0,0.866,0.5,0.524,251.6,83.73,1,1000
2017,1,1,16,0,01-01-17 16:00,32,480,81,32,480,81,1,-5,84.15,0,0.866,0.7,0.526,211,68.78,0,1000
2017,1,1,16,30,01-01-17 16:30,12,212,17,12,212,17,1,-5,88.62,0,0.866,0.8,0.532,211,74.01,0,1000
2017,1,1,17,0,01-01-17 17:00,0,0,0,0,0,0,1,-5,93.37,0,0.866,0.9,0.538,191.1,77.71,0,1000
2017,1,1,17,30,01-01-17 17:30,0,0,0,0,0,0,1,-5,98.34,0,0.866,0.9,0.542,191.1,77.74,0,1000
2017,1,1,18,0,01-01-17 18:00,0,0,0,0,0,0,1,-5,103.5,0,0.866,0.9,0.547,179.4,76.44,-1,1000
2017,1,1,18,30,01-01-17 18:30,0,0,0,0,0,0,0,-5,108.8,0,0.866,0.8,0.548,179.4,76.46,-1,1000
2017,1,1,19,0,01-01-17 19:00,0,0,0,0,0,0,0,-5,114.21,0,0.866,0.8,0.549,169.6,80.02,-2,1000
2017,1,1,19,30,01-01-17 19:30,0,0,0,0,0,0,1,-5,119.69,0,0.866,0.7,0.554,169.6,80.04,-2,1000
2017,1,1,20,0,01-01-17 20:00,0,0,0,0,0,0,8,-6,125.22,0,0.866,0.7,0.559,169.7,84.4,-3,1000
2017,1,1,20,30,01-01-17 20:30,0,0,0,0,0,0,8,-6,130.74,0,0.866,0.6,0.568,169.7,84.41,-3,1000
2017,1,1,21,0,01-01-17 21:00,0,0,0,0,0,0,4,-6,136.22,0,0.866,0.5,0.577,174.3,90.01,-3,1000
2017,1,1,21,30,01-01-17 21:30,0,0,0,0,0,0,8,-6,141.57,0,0.866,0.5,0.584,174.3,83.49,-3,1000
2017,1,1,22,0,01-01-17 22:00,0,0,0,0,0,0,8,-6,146.71,0,0.866,0.5,0.591,174.9,85.19,-3,1000
2017,1,1,22,30,01-01-17 22:30,0,0,0,0,0,0,8,-6,151.48,0,0.866,0.5,0.594,174.9,85.18,-2,1000
