Company Name,Class Projects,"Speaking 
Engagements","Sponsored/
Hosted Events","Center/Institute 
Engagement","Advisory Board 
Engagement","Recruiting (0=no, 
1=yes)","Total 
Alumni",Prior Year Giving (FY18),"Prior 
3-year Giving ",Prior 10-Year,GIK,"Sponsored 
Research/Grants $",Score
"PricewaterhouseCoopers 
(PwC)",0,4,0,3,2,1,4,3,4,3,0,0,24
Deloitte Consulting LLP,0,4,0,3,1,1,4,2,4,3,0,0,22
Hilton Worldwide,0,2,0,4,1,1,4,3,4,3,0,0,22
IBM Corp.,4,4,0,0,1,1,4,1,3,3,0,0,21
Wyndham Worldwide,0,4,2,1,0,1,4,2,4,3,0,0,21
EY (Ernst & Young),0,4,0,0,1,1,4,3,4,1,0,0,18
Fidelity Investments,0,2,0,1,0,1,4,3,4,3,0,0,18
Johnson & Johnson,0,4,0,0,0,1,4,2,4,3,0,0,18
Marriott (p),0,4,0,0,0,1,4,2,4,3,0,0,18
Verizon,4,4,2,0,0,1,4,0,1,2,0,0,18
Accenture PLC,0,4,0,1,0,1,4,2,3,2,0,0,17
"Goldman Sachs Group, Inc.",0,1,0,0,1,1,4,3,4,3,0,0,17
SC Johnson,0,2,0,0,0,1,3,4,4,3,0,0,17
SC Johnson & Son Inc. ,0,1,0,0,0,1,3,4,4,4,0,0,17
Corning Incorporated,1,4,0,1,0,1,4,2,2,1,0,0,16
General Electric,0,1,0,0,0,1,4,3,4,3,0,0,16
Citigroup Inc.,0,4,0,0,0,1,4,1,2,3,0,0,15
Corning,1,4,0,0,0,1,4,2,2,1,0,0,15
Expedia,0,4,0,1,0,1,4,0,2,3,0,0,15
Google,0,4,0,0,1,1,4,2,2,1,0,0,15
Hyatt (c),0,2,0,0,0,1,3,2,4,3,0,0,15
La Salle Hotel Properties,1,4,0,0,0,1,4,1,1,3,0,0,15
MasterCard,0,3,0,0,0,1,3,1,1,2,0,4,15
Procter & Gamble Co. ,1,4,0,0,0,1,4,1,2,2,0,0,15
Wells Fargo,0,3,0,0,0,1,4,2,2,3,0,0,15
Barclays PLC,0,1,0,1,1,1,4,1,3,2,0,0,14
A.T. Kearney,0,3,0,0,0,1,3,0,4,2,0,0,13
Amazon,0,4,2,0,0,1,4,0,1,1,0,0,13
American Express Company,1,2,0,0,0,1,4,1,1,2,0,0,12
"Capital One Financial 
Corporation",0,0,0,0,0,1,4,2,4,1,0,0,12
