Company Name,Class Projects,"Speaking 
Engagements","Sponsored/
Hosted Events","Center/Institute 
Engagement","Advisory Board 
Engagement","Recruiting (0=no, 
1=yes)","Total 
Alumni",Prior Year Giving ,"Prior 
3-year Giving ",Lifetime Giving ,Exec Ed,GIK,"Sponsored 
Research/Grants $",Score,,,,,,,
"PricewaterhouseCoopers 
(PwC)",0,4,0,4,2,1,4,3,4,3,0,0,0,25,,,,,,,
Deloitte Consulting LLP,0,4,0,4,1,1,4,2,4,3,0,0,0,23,,,,,,,
EY (Ernst & Young),0,4,0,0,1,1,4,3,4,1,0,0,0,18,,,,,,,
Fidelity Investments,0,2,0,2,0,1,4,3,4,3,0,0,0,19,,,,,,,
Accenture PLC,0,4,0,1,0,1,4,2,3,2,0,0,0,17,,,,,,,
"Goldman Sachs Group, Inc.",0,1,0,0,1,1,4,3,4,3,0,0,0,17,,,,,,,
Citigroup Inc.,0,4,0,0,0,1,4,1,2,3,0,0,0,15,,,,,,,
Wells Fargo,0,3,0,0,0,1,4,2,2,3,0,0,0,15,,,,,,,
Barclays PLC,0,1,0,1,1,1,4,1,3,2,0,0,0,14,,,,,,,
A.T. Kearney,0,3,0,0,0,1,3,0,4,2,0,0,0,13,,,,,,,
American Express Company,1,2,0,0,0,1,4,1,1,2,0,0,0,12,,,,,,,
"Capital One Financial 
Corporation",0,0,0,0,0,1,4,2,4,1,0,0,0,12,,,,,,,
JPMorgan Chase & Co.,0,1,0,1,2,1,4,1,1,2,0,0,0,13,,,,,,,
Credit Suisse Group,0,0,0,0,2,1,4,2,2,0,0,0,0,11,,,,,,,
Deutsche Bank AG,0,2,0,0,0,1,4,1,1,2,0,0,0,11,,,,,,,
Bain & Company,0,4,0,0,0,1,4,0,0,1,0,0,0,10,,,,,,,
Blackstone,0,1,0,1,1,1,3,1,1,1,0,0,0,10,,,,,,,
McKinsey & Company,0,3,0,0,0,1,4,0,1,0,0,0,0,9,,,,,,,
BlackRock,0,0,0,0,1,1,4,0,1,1,0,0,0,8,,,,,,,
KPMG,0,1,0,0,0,1,3,1,1,1,4,0,0,12,,,,,,,
Morgan Stanley,0,0,0,0,0,1,4,0,2,1,0,0,0,8,,,,,,,
Boston Consulting Group (BCG),0,1,0,0,0,1,4,0,0,0,0,0,0,6,,,,,,,
"Guggenheim Partners, LLC",0,2,0,0,0,1,3,0,0,0,0,0,0,6,,,,,,,
Booz Allen Hamilton,0,0,0,0,0,1,4,0,0,0,0,0,0,5,,,,,,,
Robert W. Baird & Co. Inc.,0,0,0,0,0,1,1,0,0,0,0,0,0,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
